"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"75-84 years"	"75-84"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	403	16451547	2.4
	"75-84 years"	"75-84"	"Other disorders of the nervous system"	"G90-G98"	2893	16451547	17.6
	"75-84 years"	"75-84"	"Chronic rheumatic heart diseases"	"I05-I09"	998	16451547	6.1
	"75-84 years"	"75-84"	"Hypertensive diseases"	"I10-I15"	25396	16451547	154.4
	"75-84 years"	"75-84"	"Ischaemic heart diseases"	"I20-I25"	95669	16451547	581.5
	"75-84 years"	"75-84"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	4435	16451547	27.0
	"75-84 years"	"75-84"	"Other forms of heart disease"	"I30-I51"	50757	16451547	308.5
	"75-84 years"	"75-84"	"Cerebrovascular diseases"	"I60-I69"	43252	16451547	262.9
	"75-84 years"	"75-84"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	6185	16451547	37.6
	"75-84 years"	"75-84"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	718	16451547	4.4
	"75-84 years"	"75-84"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	195	16451547	1.2
	"75-84 years"	"75-84"	"Acute upper respiratory infections"	"J00-J06"	44	16451547	0.3
	"75-84 years"	"75-84"	"Influenza and pneumonia"	"J09-J18"	13832	16451547	84.1
	"75-84 years"	"75-84"	"Other acute lower respiratory infections"	"J20-J22"	51	16451547	0.3
	"75-84 years"	"75-84"	"Other diseases of upper respiratory tract"	"J30-J39"	140	16451547	0.9
	"75-84 years"	"75-84"	"Chronic lower respiratory diseases"	"J40-J47"	49363	16451547	300.1
	"75-84 years"	"75-84"	"Lung diseases due to external agents"	"J60-J70"	5224	16451547	31.8
	"75-84 years"	"75-84"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	7546	16451547	45.9
	"75-84 years"	"75-84"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	227	16451547	1.4
	"75-84 years"	"75-84"	"Other diseases of pleura"	"J90-J94"	558	16451547	3.4
	"75-84 years"	"75-84"	"Other diseases of the respiratory system"	"J96-J98"	5246	16451547	31.9
	"75-84 years"	"75-84"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	77	16451547	0.5
	"75-84 years"	"75-84"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	1864	16451547	11.3
	"75-84 years"	"75-84"	"Diseases of appendix"	"K35-K38"	118	16451547	0.7
	"75-84 years"	"75-84"	"Hernia"	"K40-K46"	584	16451547	3.5
	"75-84 years"	"75-84"	"Noninfective enteritis and colitis"	"K50-K52"	341	16451547	2.1
	"75-84 years"	"75-84"	"Other diseases of intestines"	"K55-K63"	6286	16451547	38.2
	"75-84 years"	"75-84"	"Diseases of peritoneum"	"K65-K66"	558	16451547	3.4
	"75-84 years"	"75-84"	"Diseases of liver"	"K70-K76"	8320	16451547	50.6
	"75-84 years"	"75-84"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	2362	16451547	14.4
	"75-84 years"	"75-84"	"Other diseases of the digestive system"	"K90-K92"	2700	16451547	16.4
	"75-84 years"	"75-84"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	739	16451547	4.5
	"75-84 years"	"75-84"	"Bullous disorders"	"L10-L13"	51	16451547	0.3
	"75-84 years"	"75-84"	"Urticaria and erythema"	"L50-L53"	31	16451547	0.2
	"75-84 years"	"75-84"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	623	16451547	3.8
	"75-84 years"	"75-84"	"Arthropathies"	"M00-M25"	954	16451547	5.8
	"75-84 years"	"75-84"	"Systemic connective tissue disorders"	"M30-M35"	763	16451547	4.6
	"75-84 years"	"75-84"	"Dorsopathies"	"M40-M54"	460	16451547	2.8
	"75-84 years"	"75-84"	"Soft tissue disorders"	"M60-M79"	689	16451547	4.2
	"75-84 years"	"75-84"	"Osteopathies and chondropathies"	"M80-M94"	905	16451547	5.5
	"75-84 years"	"75-84"	"Glomerular diseases"	"N00-N07"	280	16451547	1.7
	"75-84 years"	"75-84"	"Renal tubulo-interstitial diseases"	"N10-N15"	484	16451547	2.9
	"75-84 years"	"75-84"	"Renal failure"	"N17-N19"	14401	16451547	87.5
	"75-84 years"	"75-84"	"Urolithiasis"	"N20-N23"	204	16451547	1.2
	"75-84 years"	"75-84"	"Other disorders of kidney and ureter"	"N25-N28"	1807	16451547	11.0
	"75-84 years"	"75-84"	"Other diseases of urinary system"	"N30-N39"	3886	16451547	23.6
	"75-84 years"	"75-84"	"Diseases of male genital organs"	"N40-N50"	298	16451547	1.8
	"75-84 years"	"75-84"	"Disorders of breast"	"N60-N64"	16	16451547	Unreliable
	"75-84 years"	"75-84"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	46	16451547	0.3
	"75-84 years"	"75-84"	"Noninflammatory disorders of female genital tract"	"N80-N98"	64	16451547	0.4
	"75-84 years"	"75-84"	"Congenital malformations of the nervous system"	"Q00-Q07"	19	16451547	Unreliable
	"75-84 years"	"75-84"	"Congenital malformations of the circulatory system"	"Q20-Q28"	204	16451547	1.2
	"75-84 years"	"75-84"	"Other congenital malformations of the digestive system"	"Q38-Q45"	32	16451547	0.2
	"75-84 years"	"75-84"	"Congenital malformations of the urinary system"	"Q60-Q64"	109	16451547	0.7
	"75-84 years"	"75-84"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	14	16451547	Unreliable
	"75-84 years"	"75-84"	"Other congenital malformations"	"Q80-Q89"	53	16451547	0.3
	"75-84 years"	"75-84"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	24	16451547	0.1
	"75-84 years"	"75-84"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	921	16451547	5.6
	"75-84 years"	"75-84"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	153	16451547	0.9
	"75-84 years"	"75-84"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	40	16451547	0.2
	"75-84 years"	"75-84"	"Symptoms and signs involving cognition, perception, emotional state and behaviour"	"R40-R46"	41	16451547	0.2
	"75-84 years"	"75-84"	"Symptoms and signs involving speech and voice"	"R47-R49"	19	16451547	Unreliable
	"75-84 years"	"75-84"	"General symptoms and signs"	"R50-R68"	2946	16451547	17.9
	"75-84 years"	"75-84"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	"R90-R94"	121	16451547	0.7
	"75-84 years"	"75-84"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1428	16451547	8.7
	"75-84 years"	"75-84"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	97049	16451547	589.9
	"75-84 years"	"75-84"	"Transport accidents"	"V01-V99"	2784	16451547	16.9
	"75-84 years"	"75-84"	"Other external causes of accidental injury"	"W00-X59"	15590	16451547	94.8
	"75-84 years"	"75-84"	"Intentional self-harm"	"X60-X84"	3032	16451547	18.4
	"75-84 years"	"75-84"	"Assault"	"X85-Y09"	321	16451547	2.0
	"75-84 years"	"75-84"	"Event of undetermined intent"	"Y10-Y34"	139	16451547	0.8
	"75-84 years"	"75-84"	"Complications of medical and surgical care"	"Y40-Y84"	1260	16451547	7.7
	"75-84 years"	"75-84"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	297	16451547	1.8
"Total"	"75-84 years"	"75-84"			822084	16451547	4997.0
	"85+ years"	"85+"	"Intestinal infectious diseases"	"A00-A09"	2182	6658420	32.8
	"85+ years"	"85+"	"Tuberculosis"	"A16-A19"	87	6658420	1.3
	"85+ years"	"85+"	"Other bacterial diseases"	"A30-A49"	10332	6658420	155.2
	"85+ years"	"85+"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	13	6658420	Unreliable
	"85+ years"	"85+"	"Viral infections of the central nervous system"	"A80-A89"	45	6658420	0.7
	"85+ years"	"85+"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	154	6658420	2.3
	"85+ years"	"85+"	"Viral hepatitis"	"B15-B19"	141	6658420	2.1
	"85+ years"	"85+"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	40	6658420	0.6
	"85+ years"	"85+"	"Other viral diseases"	"B25-B34"	1050	6658420	15.8
	"85+ years"	"85+"	"Mycoses"	"B35-B49"	113	6658420	1.7
	"85+ years"	"85+"	"Protozoal diseases"	"B50-B64"	18	6658420	Unreliable
	"85+ years"	"85+"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	210	6658420	3.2
	"85+ years"	"85+"	"Other infectious diseases"	"B99-B99"	144	6658420	2.2
	"85+ years"	"85+"	"Malignant neoplasms"	"C00-C97"	102413	6658420	1538.1
	"85+ years"	"85+"	"In situ neoplasms"	"D00-D09"	38	6658420	0.6
	"85+ years"	"85+"	"Benign neoplasms"	"D10-D36"	427	6658420	6.4
	"85+ years"	"85+"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	4799	6658420	72.1
	"85+ years"	"85+"	"Nutritional anaemias"	"D50-D53"	226	6658420	3.4
	"85+ years"	"85+"	"Haemolytic anaemias"	"D55-D59"	107	6658420	1.6
	"85+ years"	"85+"	"Aplastic and other anaemias"	"D60-D64"	1676	6658420	25.2
	"85+ years"	"85+"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	486	6658420	7.3
	"85+ years"	"85+"	"Other diseases of blood and blood-forming organs"	"D70-D76"	195	6658420	2.9
	"85+ years"	"85+"	"Certain disorders involving the immune mechanism"	"D80-D89"	159	6658420	2.4
	"85+ years"	"85+"	"Disorders of thyroid gland"	"E00-E07"	1105	6658420	16.6
	"85+ years"	"85+"	"Diabetes mellitus"	"E10-E14"	19536	6658420	293.4
	"85+ years"	"85+"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	76	6658420	1.1
	"85+ years"	"85+"	"Disorders of other endocrine glands"	"E20-E34"	200	6658420	3.0
	"85+ years"	"85+"	"Malnutrition"	"E40-E46"	7916	6658420	118.9
	"85+ years"	"85+"	"Other nutritional deficiencies"	"E50-E64"	121	6658420	1.8
	"85+ years"	"85+"	"Obesity and other hyperalimentation"	"E65-E68"	274	6658420	4.1
	"85+ years"	"85+"	"Metabolic disorders"	"E70-E88"	10538	6658420	158.3
	"85+ years"	"85+"	"Organic, including symptomatic, mental disorders"	"F01-F09"	84470	6658420	1268.6
	"85+ years"	"85+"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	265	6658420	4.0
	"85+ years"	"85+"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	75	6658420	1.1
	"85+ years"	"85+"	"Mood [affective] disorders"	"F30-F39"	277	6658420	4.2
	"85+ years"	"85+"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	86	6658420	1.3
	"85+ years"	"85+"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	111	6658420	1.7
	"85+ years"	"85+"	"Mental retardation"	"F70-F79"	14	6658420	Unreliable
	"85+ years"	"85+"	"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F90-F98"	12	6658420	Unreliable
	"85+ years"	"85+"	"Inflammatory diseases of the central nervous system"	"G00-G09"	152	6658420	2.3
	"85+ years"	"85+"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	497	6658420	7.5
	"85+ years"	"85+"	"Extrapyramidal and movement disorders"	"G20-G25"	16080	6658420	241.5
	"85+ years"	"85+"	"Other degenerative diseases of the nervous system"	"G30-G31"	112379	6658420	1687.8
	"85+ years"	"85+"	"Demyelinating diseases of the central nervous system"	"G35-G37"	317	6658420	4.8
	"85+ years"	"85+"	"Episodic and paroxysmal disorders"	"G40-G47"	518	6658420	7.8
	"85+ years"	"85+"	"Nerve, nerve root and plexus disorders"	"G50-G58"	19	6658420	Unreliable
	"85+ years"	"85+"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	199	6658420	3.0
	"85+ years"	"85+"	"Diseases of myoneural junction and muscle"	"G70-G72"	467	6658420	7.0
	"85+ years"	"85+"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	217	6658420	3.3
	"85+ years"	"85+"	"Other disorders of the nervous system"	"G90-G98"	2124	6658420	31.9
	"85+ years"	"85+"	"Diseases of middle ear and mastoid"	"H65-H74"	13	6658420	Unreliable
	"85+ years"	"85+"	"Acute rheumatic fever"	"I00-I02"	11	6658420	Unreliable
	"85+ years"	"85+"	"Chronic rheumatic heart diseases"	"I05-I09"	1332	6658420	20.0
	"85+ years"	"85+"	"Hypertensive diseases"	"I10-I15"	45794	6658420	687.8
	"85+ years"	"85+"	"Ischaemic heart diseases"	"I20-I25"	127398	6658420	1913.3
	"85+ years"	"85+"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	5081	6658420	76.3
	"85+ years"	"85+"	"Other forms of heart disease"	"I30-I51"	91539	6658420	1374.8
	"85+ years"	"85+"	"Cerebrovascular diseases"	"I60-I69"	67777	6658420	1017.9
	"85+ years"	"85+"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	7933	6658420	119.1
	"85+ years"	"85+"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	602	6658420	9.0
	"85+ years"	"85+"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	252	6658420	3.8
	"85+ years"	"85+"	"Acute upper respiratory infections"	"J00-J06"	59	6658420	0.9
	"85+ years"	"85+"	"Influenza and pneumonia"	"J09-J18"	18219	6658420	273.6
	"85+ years"	"85+"	"Other acute lower respiratory infections"	"J20-J22"	104	6658420	1.6
	"85+ years"	"85+"	"Other diseases of upper respiratory tract"	"J30-J39"	129	6658420	1.9
	"85+ years"	"85+"	"Chronic lower respiratory diseases"	"J40-J47"	40790	6658420	612.6
	"85+ years"	"85+"	"Lung diseases due to external agents"	"J60-J70"	7696	6658420	115.6
	"85+ years"	"85+"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	5936	6658420	89.2
	"85+ years"	"85+"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	140	6658420	2.1
	"85+ years"	"85+"	"Other diseases of pleura"	"J90-J94"	793	6658420	11.9
	"85+ years"	"85+"	"Other diseases of the respiratory system"	"J96-J98"	5520	6658420	82.9
	"85+ years"	"85+"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	122	6658420	1.8
	"85+ years"	"85+"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	2389	6658420	35.9
	"85+ years"	"85+"	"Diseases of appendix"	"K35-K38"	93	6658420	1.4
	"85+ years"	"85+"	"Hernia"	"K40-K46"	822	6658420	12.3
	"85+ years"	"85+"	"Noninfective enteritis and colitis"	"K50-K52"	285	6658420	4.3
	"85+ years"	"85+"	"Other diseases of intestines"	"K55-K63"	7422	6658420	111.5
	"85+ years"	"85+"	"Diseases of peritoneum"	"K65-K66"	429	6658420	6.4
	"85+ years"	"85+"	"Diseases of liver"	"K70-K76"	2930	6658420	44.0
	"85+ years"	"85+"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	2812	6658420	42.2
	"85+ years"	"85+"	"Other diseases of the digestive system"	"K90-K92"	3934	6658420	59.1
	"85+ years"	"85+"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	831	6658420	12.5
	"85+ years"	"85+"	"Bullous disorders"	"L10-L13"	50	6658420	0.8
	"85+ years"	"85+"	"Urticaria and erythema"	"L50-L53"	24	6658420	0.4
	"85+ years"	"85+"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	617	6658420	9.3
	"85+ years"	"85+"	"Arthropathies"	"M00-M25"	1027	6658420	15.4
	"85+ years"	"85+"	"Systemic connective tissue disorders"	"M30-M35"	397	6658420	6.0
	"85+ years"	"85+"	"Dorsopathies"	"M40-M54"	524	6658420	7.9
	"85+ years"	"85+"	"Soft tissue disorders"	"M60-M79"	960	6658420	14.4
	"85+ years"	"85+"	"Osteopathies and chondropathies"	"M80-M94"	1284	6658420	19.3
	"85+ years"	"85+"	"Glomerular diseases"	"N00-N07"	296	6658420	4.4
	"85+ years"	"85+"	"Renal tubulo-interstitial diseases"	"N10-N15"	551	6658420	8.3
	"85+ years"	"85+"	"Renal failure"	"N17-N19"	16205	6658420	243.4
	"85+ years"	"85+"	"Urolithiasis"	"N20-N23"	256	6658420	3.8
	"85+ years"	"85+"	"Other disorders of kidney and ureter"	"N25-N28"	1984	6658420	29.8
	"85+ years"	"85+"	"Other diseases of urinary system"	"N30-N39"	5755	6658420	86.4
	"85+ years"	"85+"	"Diseases of male genital organs"	"N40-N50"	452	6658420	6.8
	"85+ years"	"85+"	"Disorders of breast"	"N60-N64"	56	6658420	0.8
	"85+ years"	"85+"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	23	6658420	0.3
	"85+ years"	"85+"	"Noninflammatory disorders of female genital tract"	"N80-N98"	106	6658420	1.6
	"85+ years"	"85+"	"Congenital malformations of the circulatory system"	"Q20-Q28"	171	6658420	2.6
	"85+ years"	"85+"	"Other congenital malformations of the digestive system"	"Q38-Q45"	40	6658420	0.6
	"85+ years"	"85+"	"Congenital malformations of the urinary system"	"Q60-Q64"	77	6658420	1.2
	"85+ years"	"85+"	"Other congenital malformations"	"Q80-Q89"	35	6658420	0.5
	"85+ years"	"85+"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	1190	6658420	17.9
	"85+ years"	"85+"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	352	6658420	5.3
	"85+ years"	"85+"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	113	6658420	1.7
	"85+ years"	"85+"	"Symptoms and signs involving cognition, perception, emotional state and behaviour"	"R40-R46"	146	6658420	2.2
	"85+ years"	"85+"	"Symptoms and signs involving speech and voice"	"R47-R49"	10	6658420	Unreliable
	"85+ years"	"85+"	"General symptoms and signs"	"R50-R68"	7930	6658420	119.1
	"85+ years"	"85+"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	"R90-R94"	167	6658420	2.5
	"85+ years"	"85+"	"Ill-defined and unknown causes of mortality"	"R95-R99"	2029	6658420	30.5
	"85+ years"	"85+"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	109544	6658420	1645.2
	"85+ years"	"85+"	"Transport accidents"	"V01-V99"	1202	6658420	18.1
	"85+ years"	"85+"	"Other external causes of accidental injury"	"W00-X59"	24149	6658420	362.7
	"85+ years"	"85+"	"Intentional self-harm"	"X60-X84"	1389	6658420	20.9
	"85+ years"	"85+"	"Assault"	"X85-Y09"	122	6658420	1.8
	"85+ years"	"85+"	"Event of undetermined intent"	"Y10-Y34"	81	6658420	1.2
	"85+ years"	"85+"	"Complications of medical and surgical care"	"Y40-Y84"	868	6658420	13.0
	"85+ years"	"85+"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	212	6658420	3.2
"Total"	"85+ years"	"85+"			1012805	6658420	15210.9
	"Not Stated"	"NS"	"Ischaemic heart diseases"	"I20-I25"	17	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Ill-defined and unknown causes of mortality"	"R95-R99"	31	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"Other external causes of accidental injury"	"W00-X59"	20	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			116	Not Applicable	Not Applicable
"Total"					3383729	329484123	1027.0
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Year/Month: 2020"
"Group By: Ten-Year Age Groups; ICD Sub-Chapter"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Dec 6, 2022 4:36:49 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Dec 6, 2022 4:36:49 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
"6. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"7. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
